SERIALNO,PUMA,STATE,ADJHSG,ADJINC,WGTP,BLD,TEN,YRBLT,GRNTP,GRPIP,HINCP
2019GQ0000338,07509,6,1195583,1207712,0,,,,,,
2019GQ0000939,07512,6,1195583,1207712,0,,,,,,
2019GQ0001782,07508,6,1195583,1207712,0,,,,,,
2019GQ0002628,07512,6,1195583,1207712,0,,,,,,
2019GQ0002685,07509,6,1195583,1207712,0,,,,,,
2019GQ0003159,07509,6,1195583,1207712,0,,,,,,
2019GQ0003378,07509,6,1195583,1207712,0,,,,,,
2019GQ0003511,07513,6,1195583,1207712,0,,,,,,
2019GQ0003703,07509,6,1195583,1207712,0,,,,,,
2019GQ0004285,07514,6,1195583,1207712,0,,,,,,
2019GQ0004348,07508,6,1195583,1207712,0,,,,,,
2019GQ0004389,07508,6,1195583,1207712,0,,,,,,
2019GQ0004682,07509,6,1195583,1207712,0,,,,,,
2019GQ0004850,07513,6,1195583,1207712,0,,,,,,
2019GQ0004875,07507,6,1195583,1207712,0,,,,,,
2019GQ0004904,07511,6,1195583,1207712,0,,,,,,
2019GQ0005460,07512,6,1195583,1207712,0,,,,,,
2019GQ0005715,07511,6,1195583,1207712,0,,,,,,
2019GQ0005769,07509,6,1195583,1207712,0,,,,,,
2019GQ0007083,07513,6,1195583,1207712,0,,,,,,
2019GQ0007096,07513,6,1195583,1207712,0,,,,,,
2019GQ0007190,07510,6,1195583,1207712,0,,,,,,
2019GQ0007374,07507,6,1195583,1207712,0,,,,,,
2019GQ0007832,07507,6,1195583,1207712,0,,,,,,
2019GQ0009357,07509,6,1195583,1207712,0,,,,,,
2019GQ0009654,07513,6,1195583,1207712,0,,,,,,
2019GQ0010146,07511,6,1195583,1207712,0,,,,,,
2019GQ0010386,07509,6,1195583,1207712,0,,,,,,
2019GQ0011468,07507,6,1195583,1207712,0,,,,,,
2019GQ0011701,07513,6,1195583,1207712,0,,,,,,
2019GQ0013233,07512,6,1195583,1207712,0,,,,,,
2019GQ0013949,07507,6,1195583,1207712,0,,,,,,
2019GQ0014262,07509,6,1195583,1207712,0,,,,,,
2019GQ0015018,07514,6,1195583,1207712,0,,,,,,
2019GQ0015577,07508,6,1195583,1207712,0,,,,,,
2019GQ0016107,07512,6,1195583,1207712,0,,,,,,
2019GQ0016176,07514,6,1195583,1207712,0,,,,,,
2019GQ0016525,07511,6,1195583,1207712,0,,,,,,
2019GQ0016694,07514,6,1195583,1207712,0,,,,,,
2019GQ0017579,07507,6,1195583,1207712,0,,,,,,
2019GQ0017792,07514,6,1195583,1207712,0,,,,,,
2019GQ0018524,07513,6,1195583,1207712,0,,,,,,
2019GQ0018540,07512,6,1195583,1207712,0,,,,,,
2019GQ0018619,07510,6,1195583,1207712,0,,,,,,
2019GQ0018911,07512,6,1195583,1207712,0,,,,,,
2019GQ0019278,07512,6,1195583,1207712,0,,,,,,
2019GQ0019525,07514,6,1195583,1207712,0,,,,,,
2019GQ0020061,07510,6,1195583,1207712,0,,,,,,
2019GQ0020282,07509,6,1195583,1207712,0,,,,,,
2019GQ0020705,07507,6,1195583,1207712,0,,,,,,
2019GQ0020813,07512,6,1195583,1207712,0,,,,,,
2019GQ0021164,07514,6,1195583,1207712,0,,,,,,
2019GQ0021380,07512,6,1195583,1207712,0,,,,,,
2019GQ0021593,07508,6,1195583,1207712,0,,,,,,
2019GQ0022200,07510,6,1195583,1207712,0,,,,,,
2019GQ0022246,07509,6,1195583,1207712,0,,,,,,
2019GQ0022512,07508,6,1195583,1207712,0,,,,,,
2019GQ0022982,07507,6,1195583,1207712,0,,,,,,
2019GQ0023373,07509,6,1195583,1207712,0,,,,,,
2019GQ0023841,07507,6,1195583,1207712,0,,,,,,
2019GQ0024871,07510,6,1195583,1207712,0,,,,,,
2019GQ0025120,07507,6,1195583,1207712,0,,,,,,
2019GQ0025309,07508,6,1195583,1207712,0,,,,,,
2019GQ0025389,07507,6,1195583,1207712,0,,,,,,
2019GQ0025755,07508,6,1195583,1207712,0,,,,,,
2019GQ0025931,07514,6,1195583,1207712,0,,,,,,
2019GQ0026394,07514,6,1195583,1207712,0,,,,,,
2019GQ0026480,07512,6,1195583,1207712,0,,,,,,
2019GQ0026540,07514,6,1195583,1207712,0,,,,,,
2019GQ0028068,07508,6,1195583,1207712,0,,,,,,
2019GQ0028273,07513,6,1195583,1207712,0,,,,,,
2019GQ0028888,07513,6,1195583,1207712,0,,,,,,
2019GQ0029303,07513,6,1195583,1207712,0,,,,,,
2019GQ0029751,07510,6,1195583,1207712,0,,,,,,
2019GQ0029825,07513,6,1195583,1207712,0,,,,,,
2019GQ0029864,07510,6,1195583,1207712,0,,,,,,
2019GQ0030024,07514,6,1195583,1207712,0,,,,,,
2019GQ0030585,07512,6,1195583,1207712,0,,,,,,
2019GQ0031255,07510,6,1195583,1207712,0,,,,,,
2019GQ0031502,07508,6,1195583,1207712,0,,,,,,
2019GQ0031520,07512,6,1195583,1207712,0,,,,,,
2019GQ0031887,07512,6,1195583,1207712,0,,,,,,
2019GQ0031979,07510,6,1195583,1207712,0,,,,,,
2019GQ0032137,07512,6,1195583,1207712,0,,,,,,
2019GQ0032726,07509,6,1195583,1207712,0,,,,,,
2019GQ0032762,07513,6,1195583,1207712,0,,,,,,
2019GQ0032802,07510,6,1195583,1207712,0,,,,,,
2019GQ0033016,07514,6,1195583,1207712,0,,,,,,
2019GQ0033291,07513,6,1195583,1207712,0,,,,,,
2019GQ0033494,07514,6,1195583,1207712,0,,,,,,
2019GQ0033539,07514,6,1195583,1207712,0,,,,,,
2019GQ0033939,07507,6,1195583,1207712,0,,,,,,
2019GQ0034071,07510,6,1195583,1207712,0,,,,,,
2019GQ0034810,07510,6,1195583,1207712,0,,,,,,
2019GQ0034923,07513,6,1195583,1207712,0,,,,,,
2019GQ0035090,07510,6,1195583,1207712,0,,,,,,
2019GQ0035307,07509,6,1195583,1207712,0,,,,,,
2019GQ0035729,07510,6,1195583,1207712,0,,,,,,
2019GQ0035912,07513,6,1195583,1207712,0,,,,,,
2019GQ0036239,07513,6,1195583,1207712,0,,,,,,
2019GQ0037406,07507,6,1195583,1207712,0,,,,,,
2019GQ0037426,07509,6,1195583,1207712,0,,,,,,
2019GQ0037773,07512,6,1195583,1207712,0,,,,,,
2019GQ0038468,07509,6,1195583,1207712,0,,,,,,
2019GQ0038515,07510,6,1195583,1207712,0,,,,,,
2019GQ0038599,07511,6,1195583,1207712,0,,,,,,
2019GQ0039007,07513,6,1195583,1207712,0,,,,,,
2019GQ0039125,07514,6,1195583,1207712,0,,,,,,
2019GQ0039135,07511,6,1195583,1207712,0,,,,,,
2019GQ0040343,07508,6,1195583,1207712,0,,,,,,
