SERIALNO,SPORDER,PUMA,STATE,PWGTP,HISP,RAC1P
2019GQ0000338,1,07509,6,3,1,2
2019GQ0000939,1,07512,6,3,1,1
2019GQ0001782,1,07508,6,24,1,6
2019GQ0002628,1,07512,6,2,1,6
2019GQ0002685,1,07509,6,3,1,6
2019GQ0003159,1,07509,6,22,1,1
2019GQ0003378,1,07509,6,24,1,1
2019GQ0003511,1,07513,6,1,1,2
2019GQ0003703,1,07509,6,4,1,2
2019GQ0004285,1,07514,6,12,1,1
2019GQ0004348,1,07508,6,12,1,1
2019GQ0004389,1,07508,6,4,1,6
2019GQ0004682,1,07509,6,1,2,1
2019GQ0004850,1,07513,6,3,1,6
2019GQ0004875,1,07507,6,8,1,6
2019GQ0004904,1,07511,6,42,1,1
2019GQ0005460,1,07512,6,7,1,1
2019GQ0005715,1,07511,6,39,1,2
2019GQ0005769,1,07509,6,15,1,1
2019GQ0007083,1,07513,6,1,2,3
2019GQ0007096,1,07513,6,16,1,1
2019GQ0007190,1,07510,6,27,1,9
2019GQ0007374,1,07507,6,1,1,2
2019GQ0007832,1,07507,6,30,2,1
2019GQ0009357,1,07509,6,2,1,6
2019GQ0009654,1,07513,6,20,7,8
2019GQ0010146,1,07511,6,1,1,1
2019GQ0010386,1,07509,6,1,2,8
2019GQ0011468,1,07507,6,5,1,1
2019GQ0011701,1,07513,6,15,1,1
2019GQ0013233,1,07512,6,18,1,1
2019GQ0013949,1,07507,6,13,1,1
2019GQ0014262,1,07509,6,30,24,9
2019GQ0015018,1,07514,6,5,1,2
2019GQ0015577,1,07508,6,11,1,1
2019GQ0016107,1,07512,6,2,1,6
2019GQ0016176,1,07514,6,1,1,1
2019GQ0016525,1,07511,6,32,1,3
2019GQ0016694,1,07514,6,36,1,2
2019GQ0017579,1,07507,6,1,1,6
2019GQ0017792,1,07514,6,1,1,1
2019GQ0018524,1,07513,6,16,1,6
2019GQ0018540,1,07512,6,5,1,6
2019GQ0018619,1,07510,6,10,1,6
2019GQ0018911,1,07512,6,23,1,1
2019GQ0019278,1,07512,6,8,1,1
2019GQ0019525,1,07514,6,1,1,1
2019GQ0020061,1,07510,6,3,1,1
2019GQ0020282,1,07509,6,1,1,1
2019GQ0020705,1,07507,6,4,1,1
2019GQ0020813,1,07512,6,2,1,1
2019GQ0021164,1,07514,6,4,1,2
2019GQ0021380,1,07512,6,3,1,1
2019GQ0021593,1,07508,6,6,1,1
2019GQ0022200,1,07510,6,3,1,6
2019GQ0022246,1,07509,6,23,2,9
2019GQ0022512,1,07508,6,14,1,6
2019GQ0022982,1,07507,6,4,1,1
2019GQ0023373,1,07509,6,2,1,1
2019GQ0023841,1,07507,6,2,1,1
2019GQ0024871,1,07510,6,31,1,2
2019GQ0025120,1,07507,6,14,1,1
2019GQ0025309,1,07508,6,4,1,6
2019GQ0025389,1,07507,6,42,3,8
2019GQ0025755,1,07508,6,11,1,2
2019GQ0025931,1,07514,6,17,1,1
2019GQ0026394,1,07514,6,9,1,9
2019GQ0026480,1,07512,6,2,1,2
2019GQ0026540,1,07514,6,1,2,8
2019GQ0028068,1,07508,6,4,1,1
2019GQ0028273,1,07513,6,3,1,1
2019GQ0028888,1,07513,6,4,1,7
2019GQ0029303,1,07513,6,26,1,1
2019GQ0029751,1,07510,6,4,1,1
2019GQ0029825,1,07513,6,20,11,8
2019GQ0029864,1,07510,6,4,1,1
2019GQ0030024,1,07514,6,30,1,1
2019GQ0030585,1,07512,6,19,1,6
2019GQ0031255,1,07510,6,4,1,2
2019GQ0031502,1,07508,6,5,1,2
2019GQ0031520,1,07512,6,13,23,9
2019GQ0031887,1,07512,6,6,1,1
2019GQ0031979,1,07510,6,12,2,2
2019GQ0032137,1,07512,6,2,1,2
2019GQ0032726,1,07509,6,5,1,6
2019GQ0032762,1,07513,6,37,1,1
2019GQ0032802,1,07510,6,33,1,2
2019GQ0033016,1,07514,6,41,2,1
2019GQ0033291,1,07513,6,19,1,9
2019GQ0033494,1,07514,6,2,1,1
2019GQ0033539,1,07514,6,12,1,1
2019GQ0033939,1,07507,6,12,1,6
2019GQ0034071,1,07510,6,2,1,1
2019GQ0034810,1,07510,6,3,1,1
2019GQ0034923,1,07513,6,8,1,6
2019GQ0035090,1,07510,6,12,1,6
2019GQ0035307,1,07509,6,33,1,1
2019GQ0035729,1,07510,6,8,1,1
2019GQ0035912,1,07513,6,4,1,6
2019GQ0036239,1,07513,6,16,1,1
2019GQ0037406,1,07507,6,13,1,6
2019GQ0037426,1,07509,6,4,1,2
2019GQ0037773,1,07512,6,8,1,2
2019GQ0038468,1,07509,6,5,1,2
2019GQ0038515,1,07510,6,4,1,2
2019GQ0038599,1,07511,6,3,1,6
2019GQ0039007,1,07513,6,19,2,8
2019GQ0039125,1,07514,6,4,1,7
2019GQ0039135,1,07511,6,1,14,8
2019GQ0040343,1,07508,6,9,1,2
2019GQ0040555,1,07507,6,1,2,1
2019GQ0040588,1,07514,6,22,1,6
2019GQ0040701,1,07514,6,3,1,1
2019GQ0040759,1,07511,6,1,1,1
2019GQ0041267,1,07511,6,3,1,6
2019GQ0041414,1,07513,6,2,1,6
2019GQ0041803,1,07509,6,1,1,1
2019GQ0041997,1,07508,6,12,19,8
2019GQ0042070,1,07509,6,27,1,3
2019GQ0042316,1,07508,6,8,24,9
2019GQ0043687,1,07512,6,7,1,1
2019GQ0044512,1,07509,6,2,1,1
2019GQ0044556,1,07512,6,2,1,6
2019GQ0044851,1,07507,6,1,1,1
2019GQ0044863,1,07512,6,4,1,1
2019GQ0045155,1,07508,6,46,1,1
2019GQ0045214,1,07510,6,3,2,9
2019GQ0045402,1,07514,6,13,1,1
2019GQ0045735,1,07509,6,22,1,1
2019GQ0046487,1,07510,6,8,1,1
2019GQ0046561,1,07513,6,3,2,8
2019GQ0046849,1,07514,6,1,2,8
2019GQ0047727,1,07508,6,7,1,6
2019GQ0047992,1,07512,6,5,1,6
2019GQ0048013,1,07508,6,14,1,6
2019GQ0049824,1,07509,6,1,1,1
2019GQ0050534,1,07512,6,19,1,6
2019GQ0051308,1,07512,6,29,11,8
2019GQ0051665,1,07508,6,11,11,1
2019GQ0051984,1,07513,6,2,1,2
2019GQ0052549,1,07508,6,20,1,6
2019GQ0054014,1,07514,6,31,2,1
2019GQ0054393,1,07513,6,26,2,9
2019GQ0055329,1,07510,6,2,1,9
2019GQ0056168,1,07507,6,15,1,1
2019GQ0056242,1,07508,6,25,1,6
2019GQ0056937,1,07510,6,37,1,6
2019GQ0056944,1,07510,6,25,1,2
2019GQ0057024,1,07508,6,3,1,1
2019GQ0057200,1,07512,6,5,1,6
2019GQ0058110,1,07513,6,16,1,1
2019GQ0058426,1,07510,6,7,1,1
2019GQ0058487,1,07513,6,18,11,1
2019GQ0058638,1,07508,6,17,1,6
2019GQ0059687,1,07511,6,5,1,6
2019GQ0059857,1,07508,6,21,1,6
2019GQ0059908,1,07514,6,8,1,1
2019GQ0060147,1,07510,6,14,1,1
2019GQ0060541,1,07511,6,2,24,2
2019GQ0060989,1,07514,6,3,2,8
2019GQ0061440,1,07513,6,18,1,1
2019GQ0061749,1,07511,6,1,1,2
2019GQ0061844,1,07508,6,20,1,6
2019GQ0062141,1,07510,6,3,2,8
2019GQ0062608,1,07511,6,10,1,1
2019GQ0063782,1,07510,6,26,1,2
2019GQ0063990,1,07508,6,4,1,6
2019GQ0064481,1,07513,6,19,2,2
2019GQ0064636,1,07508,6,2,24,1
2019GQ0064685,1,07509,6,1,1,1
2019GQ0065658,1,07508,6,5,1,2
2019GQ0065664,1,07512,6,1,1,6
2019GQ0066083,1,07510,6,27,2,1
2019GQ0066288,1,07512,6,5,1,6
2019GQ0068612,1,07510,6,7,1,6
2019GQ0069036,1,07510,6,10,1,2
2019GQ0069815,1,07514,6,1,1,1
2019GQ0070586,1,07514,6,2,1,6
2019GQ0070725,1,07514,6,33,1,2
2019GQ0071260,1,07514,6,8,1,1
2019GQ0072023,1,07514,6,3,2,8
2019GQ0073249,1,07510,6,1,1,1
2019GQ0073512,1,07512,6,1,1,6
2019GQ0074703,1,07511,6,2,2,8
2019GQ0074793,1,07512,6,8,1,6
2019GQ0075555,1,07507,6,1,1,2
2019GQ0076411,1,07514,6,23,1,1
2019GQ0076991,1,07514,6,14,1,9
2019GQ0077466,1,07509,6,50,19,8
2019GQ0078146,1,07513,6,26,23,9
