SERIALNO,PUMA,HINCP,TEN,YRBLT
2023HU0000062,7508,210000.0,3.0,1970.0
2023HU0000112,7508,68000.0,3.0,1960.0
2023HU0000350,7507,444700.0,1.0,1950.0
2023HU0000737,7513,111000.0,2.0,1939.0
2023HU0001115,7513,144200.0,3.0,1940.0
2023HU0001321,7509,,,1950.0
2023HU0001500,7509,33300.0,1.0,2000.0
2023HU0001795,7509,58500.0,3.0,1939.0
2023HU0001900,7513,979500.0,1.0,1939.0
2023HU0002249,7509,363000.0,3.0,1939.0
2023HU0002535,7514,248000.0,3.0,1939.0
2023HU0003061,7511,8500.0,3.0,1980.0
2023HU0003436,7512,280500.0,1.0,1960.0
2023HU0003729,7507,242000.0,3.0,2010.0
2023HU0004078,7507,90000.0,1.0,1939.0
2023HU0004449,7512,102000.0,2.0,1940.0
2023HU0004698,7512,207000.0,1.0,1939.0
2023HU0004770,7514,100000.0,3.0,1939.0
2023HU0005060,7514,199000.0,3.0,1960.0
2023HU0005283,7508,414200.0,3.0,1970.0
2023HU0005869,7507,70600.0,3.0,1940.0
2023HU0006432,7508,130000.0,3.0,1960.0
2023HU0007116,7514,85000.0,3.0,1960.0
2023HU0007453,7514,191400.0,2.0,1990.0
2023HU0007618,7513,280.0,3.0,1950.0
2023HU0007756,7514,210000.0,3.0,1939.0
2023HU0007760,7511,210000.0,3.0,1939.0
2023HU0008175,7513,120000.0,3.0,1970.0
2023HU0008286,7512,270000.0,3.0,1950.0
2023HU0008351,7511,0.0,3.0,2010.0
2023HU0008777,7509,,,1939.0
2023HU0008876,7514,84000.0,2.0,1980.0
2023HU0009038,7512,197100.0,3.0,1970.0
2023HU0009261,7509,95000.0,3.0,1970.0
2023HU0009622,7512,120000.0,1.0,1939.0
2023HU0010654,7512,492400.0,1.0,1939.0
2023HU0011096,7514,76400.0,3.0,1980.0
2023HU0011689,7510,16800.0,3.0,2000.0
2023HU0012689,7509,11000.0,3.0,1939.0
2023HU0012705,7513,143000.0,3.0,1950.0
2023HU0013409,7509,3000.0,3.0,1960.0
2023HU0014620,7511,355000.0,1.0,1939.0
2023HU0015128,7509,130000.0,3.0,1939.0
2023HU0015431,7512,50000.0,3.0,1940.0
2023HU0015619,7509,90000.0,3.0,1939.0
2023HU0015663,7511,238000.0,2.0,1939.0
2023HU0016281,7512,214900.0,2.0,1950.0
2023HU0016417,7508,153600.0,1.0,1940.0
2023HU0016787,7510,309000.0,2.0,2010.0
2023HU0017064,7512,330000.0,3.0,1940.0
2023HU0017629,7511,279000.0,3.0,1939.0
2023HU0018127,7507,109000.0,1.0,1940.0
2023HU0018139,7508,280000.0,2.0,1939.0
2023HU0018233,7511,382000.0,1.0,1970.0
2023HU0018252,7512,16500.0,3.0,1939.0
2023HU0018436,7508,,,2010.0
2023HU0019179,7514,180100.0,1.0,2010.0
2023HU0019334,7514,,,1939.0
2023HU0020292,7511,62000.0,2.0,1939.0
2023HU0020724,7514,75220.0,3.0,1939.0
2023HU0020943,7511,275000.0,3.0,1939.0
2023HU0021088,7513,200000.0,2.0,1940.0
2023HU0021260,7509,16000.0,1.0,1939.0
2023HU0022083,7512,141800.0,1.0,1939.0
2023HU0022825,7511,158000.0,3.0,1939.0
2023HU0023571,7514,279130.0,3.0,2010.0
2023HU0023678,7509,52000.0,4.0,1939.0
2023HU0024120,7510,77000.0,3.0,2021.0
2023HU0024821,7512,378900.0,2.0,1939.0
2023HU0024882,7511,18000.0,3.0,1960.0
2023HU0025714,7511,235000.0,1.0,1939.0
2023HU0026063,7511,14400.0,3.0,2021.0
2023HU0026150,7511,,,1980.0
2023HU0026442,7510,250200.0,1.0,1939.0
2023HU0026837,7510,4800.0,3.0,2010.0
2023HU0027110,7508,43300.0,3.0,1940.0
2023HU0027155,7510,350000.0,3.0,2000.0
2023HU0027340,7514,96000.0,2.0,1939.0
2023HU0028325,7508,250000.0,3.0,1940.0
2023HU0028458,7512,100000.0,2.0,1939.0
2023HU0028487,7508,198800.0,2.0,2000.0
2023HU0028609,7511,240000.0,3.0,1939.0
2023HU0028992,7511,451800.0,1.0,1939.0
2023HU0029289,7510,216020.0,3.0,1939.0
2023HU0029857,7507,99500.0,2.0,1950.0
2023HU0029876,7513,500000.0,1.0,1939.0
2023HU0029927,7514,113500.0,3.0,1960.0
2023HU0030774,7514,90400.0,3.0,1939.0
2023HU0031073,7510,95000.0,3.0,2021.0
2023HU0031849,7511,,,1939.0
2023HU0032709,7511,1118000.0,1.0,1939.0
2023HU0033001,7511,64400.0,4.0,1939.0
2023HU0033192,7511,148000.0,3.0,1970.0
2023HU0033773,7509,12700.0,3.0,1939.0
2023HU0034033,7508,120000.0,3.0,1990.0
2023HU0035066,7507,,,1939.0
2023HU0035594,7508,26000.0,3.0,1970.0
2023HU0035621,7513,83300.0,2.0,2010.0
2023HU0036146,7513,129200.0,2.0,1939.0
2023HU0036193,7509,,,1960.0
2023HU0036720,7508,40000.0,3.0,1970.0
2023HU0037104,7510,690000.0,1.0,2000.0
2023HU0037117,7509,22000.0,3.0,1940.0
2023HU0037204,7514,488500.0,3.0,1970.0
2023HU0037987,7513,47000.0,3.0,1940.0
2023HU0038407,7509,230000.0,3.0,2000.0
2023HU0039072,7510,370000.0,1.0,1939.0
2023HU0039834,7511,1118004.0,2.0,1939.0
2023HU0040457,7510,19900.0,3.0,2020.0
2023HU0040755,7508,355100.0,1.0,1939.0
2023HU0041001,7513,195000.0,3.0,1980.0
2023HU0041071,7508,157800.0,3.0,1960.0
2023HU0041148,7509,13600.0,3.0,1980.0
2023HU0041327,7509,175000.0,3.0,2010.0
2023HU0041967,7511,160000.0,3.0,1960.0
2023HU0042165,7512,424000.0,2.0,1950.0
2023HU0042622,7511,255000.0,1.0,1939.0
2023HU0042869,7510,250000.0,2.0,2000.0
2023HU0043245,7513,243500.0,1.0,1939.0
2023HU0043734,7511,116400.0,1.0,1939.0
2023HU0044520,7508,2430.0,3.0,2000.0
2023HU0045253,7508,183000.0,1.0,1939.0
2023HU0045523,7509,114000.0,3.0,1970.0
2023HU0045913,7511,110550.0,2.0,1939.0
2023HU0046368,7512,10800.0,3.0,1970.0
2023HU0046428,7509,200000.0,3.0,1960.0
2023HU0046856,7513,245800.0,3.0,1940.0
2023HU0046963,7513,0.0,3.0,1940.0
2023HU0047301,7510,9400.0,4.0,1980.0
2023HU0047888,7514,165000.0,1.0,1960.0
2023HU0047915,7513,63000.0,2.0,1990.0
2023HU0048201,7508,96400.0,1.0,1939.0
2023HU0048518,7508,59000.0,2.0,1939.0
2023HU0048530,7509,233300.0,3.0,1939.0
2023HU0049359,7514,215000.0,3.0,2000.0
2023HU0049737,7511,30300.0,3.0,1970.0
2023HU0050304,7514,14000.0,3.0,1990.0
2023HU0050726,7512,370000.0,3.0,2000.0
2023HU0051056,7514,280000.0,3.0,1939.0
2023HU0051153,7509,198100.0,3.0,1939.0
2023HU0051380,7510,250000.0,3.0,2000.0
2023HU0051383,7513,303200.0,3.0,1960.0
2023HU0051501,7514,143900.0,3.0,1940.0
2023HU0051998,7508,86200.0,3.0,1970.0
2023HU0052018,7510,734000.0,1.0,1980.0
2023HU0052020,7507,36900.0,3.0,1939.0
2023HU0052317,7512,,,1939.0
2023HU0052356,7509,40000.0,3.0,1939.0
2023HU0052419,7511,324000.0,3.0,1970.0
2023HU0052634,7507,292000.0,1.0,1939.0
2023HU0053172,7514,,,1939.0
2023HU0053184,7511,2600.0,3.0,1970.0
2023HU0053371,7507,150000.0,1.0,2010.0
2023HU0054124,7510,440500.0,1.0,1939.0
2023HU0054215,7514,220000.0,3.0,1970.0
2023HU0055308,7512,41300.0,2.0,1960.0
2023HU0056095,7514,,,1980.0
2023HU0056103,7511,170800.0,4.0,1950.0
2023HU0056305,7510,148760.0,3.0,1939.0
2023HU0056530,7508,0.0,2.0,1939.0
2023HU0056726,7510,369000.0,3.0,2000.0
2023HU0057325,7507,238020.0,1.0,1939.0
2023HU0057448,7514,12000.0,2.0,1980.0
2023HU0057771,7511,391000.0,1.0,1940.0
2023HU0058018,7511,180000.0,1.0,1939.0
2023HU0058839,7512,144200.0,1.0,1940.0
2023HU0059348,7507,53000.0,1.0,1939.0
2023HU0059527,7510,75000.0,3.0,2000.0
2023HU0059715,7512,150000.0,1.0,1950.0
2023HU0060605,7508,217900.0,1.0,1939.0
2023HU0061253,7508,251300.0,1.0,1939.0
2023HU0061666,7513,280000.0,3.0,1940.0
2023HU0062023,7509,77000.0,3.0,1939.0
2023HU0062231,7507,76800.0,3.0,2010.0
2023HU0063162,7512,75000.0,3.0,1980.0
2023HU0064785,7513,96000.0,3.0,2000.0
2023HU0065018,7509,65000.0,3.0,1970.0
2023HU0065434,7508,280000.0,3.0,1939.0
2023HU0065814,7507,390000.0,1.0,2000.0
2023HU0066188,7511,408450.0,3.0,1939.0
2023HU0067343,7509,140000.0,3.0,1939.0
2023HU0067521,7513,,,1939.0
2023HU0067540,7514,96000.0,3.0,1960.0
2023HU0068207,7514,130000.0,2.0,1939.0
2023HU0068231,7508,139000.0,2.0,1939.0
2023HU0068508,7508,166000.0,3.0,1950.0
2023HU0068732,7513,18000.0,2.0,1939.0
2023HU0068766,7509,1144900.0,3.0,1960.0
2023HU0068808,7511,99200.0,1.0,1940.0
2023HU0068850,7514,999000.0,1.0,1939.0
2023HU0068940,7508,155000.0,3.0,1939.0
2023HU0069011,7508,450000.0,3.0,1939.0
2023HU0069203,7513,435300.0,2.0,1940.0
